입출금 통장 평균잔액,금융 상품 평균잔액,펀드 평균잔액,대출 평균잔액,ltv
19455.15,0.0,0.0,0.0,22237.110696533404
6698.386666666666,0.0,0.0,0.0,214562.7701759399
14270.773333333333,0.0,0.0,0.0,77995.24158461351
167044.04,0.0,0.0,0.0,256905.29486316067
2005.83,0.0,0.0,0.0,18462.132974418593
592.7333333333335,0.0,0.0,2010681.01,2924282.3714804235
188333.62666666668,0.0,0.0,0.0,3321290.721789006
612.73,0.0,0.0,1351199.1066666667,330820.40065674204
19783.59,0.0,0.0,0.0,24325.16163781744
2262.436666666667,0.0,0.0,0.0,258664.41612905936
5.426666666666667,0.0,3015.5200000000004,0.0,369349.7344779073
348.43666666666667,0.0,0.0,528168.92,161599.04579565654
55789.55333333334,0.0,60672.10666666667,0.0,599835.2664682753
21933.27333333333,0.0,0.0,0.0,441264.72284323076
40.553333333333335,0.0,0.0,0.0,195329.49656681143
1.76,0.0,0.0,0.0,13728.259683540715
1759.7733333333333,0.0,167.18333333333334,0.0,89157.44164272527
17785.966666666664,0.0,0.0,0.0,54048.514682395966
742.3633333333333,0.0,0.0,0.0,252243.8119831896
472.37,17333.333333333332,0.0,0.0,62231.24364903532
0.87,0.0,0.0,0.0,47324.79721061809
125.10666666666668,0.0,0.0,0.0,70869.3190998522
22708.846666666665,0.0,0.0,0.0,30561.320933960043
0.4233333333333333,0.0,0.0,0.0,5379.323356218109
51.68000000000001,0.0,0.0,0.0,13.882650460065566
151289.57333333333,126000.0,3588.9033333333336,0.0,148340.5394041784
1034.29,0.0,0.0,0.0,1483.474175743685
2401.7900000000004,0.0,0.0,0.0,5848.130970699054
4158.2300000000005,0.0,0.0,0.0,6799.748110753695
3356.023333333333,711000.0,0.0,0.0,970530.7989206647
17389.96,0.0,0.0,0.0,15100.734063392734
16883.083333333332,0.0,0.0,0.0,57484.53669978066
37938.27333333333,0.0,0.0,0.0,60563.0602384327
7535.396666666666,0.0,0.0,0.0,11768.884662239368
10326.233333333334,0.0,0.0,0.0,288089.07876546576
73.32666666666667,0.0,0.0,0.0,186113.93154088443
1073.51,0.0,0.0,0.0,38124.37790448112
36982.70333333333,0.0,0.0,0.0,127009.17050267081
34552.91,0.0,3519.7666666666664,0.0,181868.2217842641
1372.0666666666666,0.0,0.0,1266666.6666666667,589050.242441968
23.42,50000.0,0.0,0.0,291036.1461658867
35.2,0.0,6481.706666666668,0.0,221272.9749411522
33759.88333333333,0.0,0.0,0.0,1403716.934254027
36748.20333333333,3333.333333333333,278.07666666666665,0.0,162897.48929106587
15619.963333333331,166666.66666666666,0.0,0.0,345845.3840381068
269.92,0.0,0.0,1993333.3333333333,7623992.272151169
5187.566666666667,0.0,0.0,0.0,130246.406949403
8350.78,0.0,0.0,0.0,1841596.0291681592
783.9599999999999,0.0,0.0,0.0,674124.9356190695
467.23,0.0,243333.3333333333,0.0,505651.672917128
5454.923333333333,0.0,0.0,533333.3333333334,309900.0801114288
66704.75,0.0,0.0,1266666.6666666667,1178587.9225523598
